route	trip	stop	time
4	144000_4	257N	1474602990 1474603200
4	144000_4	256N	1474602990 1474603290
4	144000_4	255N	1474602990 1474603350
4	144000_4	254N	1474602990 1474603440
4	144000_4	253N	1474602990 1474603500
4	144000_4	252N	1474602990 1474603620
4	144000_4	251N	1474602990 1474603710
4	144000_4	250N	1474602990 1474603860
4	144000_4	249N	1474602990 1474603980
4	144000_4	248N	1474602990 1474604100
4	144000_4	239N	1474602990 1474604190
4	144000_4	238N	1474602990 1474604310
4	144000_4	237N	1474602990 1474604400
4	144000_4	236N	1474602990 1474604520
4	144000_4	235N	1474602990 1474604610
4	144000_4	234N	1474602990 1474604700
4	144000_4	423N	1474602990 1474604850
4	144000_4	420N	1474602990 1474605120
4	144000_4	419N	1474602990 1474605180
4	144000_4	418N	1474602990 1474605270
4	144000_4	640N	1474602990 1474605360
4	144000_4	635N	1474602990 1474605630
4	144000_4	631N	1474602990 1474605840
4	144000_4	629N	1474602990 1474605960
4	144000_4	626N	1474602990 1474606170
4	144000_4	621N	1474602990 1474606440
4	144000_4	416N	1474602990 1474606590
4	144000_4	415N	1474602990 1474606710
4	144000_4	414N	1474602990 1474606860
4	144000_4	413N	1474602990 1474606950
4	144000_4	412N	1474602990 1474607040
4	144000_4	411N	1474602990 1474607100
4	144000_4	410N	1474602990 1474607160
4	144000_4	409N	1474602990 1474607850
4	144000_4	408N	1474602990 1474607940
4	144000_4	407N	1474602990 1474608000
4	144000_4	406N	1474602990 1474608090
4	144000_4	405N	1474602990 1474608210
4	144000_4	402N	1474602990 1474608330
4	144000_4	401N	1474602990 1474608450
4	000550_4	401S	1474602990 1474603530
4	000550_4	402S	1474602990 1474603650
4	000550_4	405S	1474602990 1474603770
4	000550_4	406S	1474602990 1474603890
4	000550_4	407S	1474602990 1474603950
4	000550_4	408S	1474602990 1474604010
4	000550_4	409S	1474602990 1474604100
4	000550_4	410S	1474602990 1474604190
4	000550_4	411S	1474602990 1474604280
4	000550_4	412S	1474602990 1474604340
4	000550_4	413S	1474602990 1474604430
4	000550_4	414S	1474602990 1474604550
4	000550_4	415S	1474602990 1474604730
4	000550_4	416S	1474602990 1474604850
4	000550_4	621S	1474602990 1474605000
4	000550_4	626S	1474602990 1474605270
4	000550_4	629S	1474602990 1474605480
4	000550_4	631S	1474602990 1474605630
4	000550_4	635S	1474602990 1474605840
4	000550_4	640S	1474602990 1474606110
4	000550_4	418S	1474602990 1474606200
4	000550_4	419S	1474602990 1474606500
4	000550_4	420S	1474602990 1474606560
4	000550_4	423S	1474602990 1474606800
4	000550_4	234S	1474602990 1474606950
4	000550_4	235S	1474602990 1474607040
4	000550_4	236S	1474602990 1474607100
4	000550_4	237S	1474602990 1474607220
4	000550_4	238S	1474602990 1474607340
4	000550_4	239S	1474602990 1474607430
4	000550_4	248S	1474602990 1474607520
4	000550_4	249S	1474602990 1474607610
4	000550_4	250S	1474602990 1474608120
4	000550_4	251S	1474602990 1474608270
4	000550_4	252S	1474602990 1474608360
4	000550_4	253S	1474602990 1474608480
4	000550_4	254S	1474602990 1474608540
4	000550_4	255S	1474602990 1474608630
4	000550_4	256S	1474602990 1474608690
4	000550_4	257S	1474602990 1474608780
4	001500_4	401S	1474602990 1474604100
4	001500_4	402S	1474602990 1474604220
4	001500_4	405S	1474602990 1474604340
4	001500_4	406S	1474602990 1474604460
4	001500_4	407S	1474602990 1474604520
