hour_route_key,weekday,date,count
00 4 S,true,2016-02-01,3
00 4 N,true,2016-02-01,3
23 4 S,true,2016-02-01,6
00 6 N,true,2016-02-01,4
00 6 S,true,2016-02-01,4
01 6 S,true,2016-02-01,3
23 6 N,true,2016-02-01,7
01 4 S,true,2016-02-01,3
01 4 N,true,2016-02-01,3
01 6 N,true,2016-02-01,3
02 6 S,true,2016-02-01,3
02 4 S,true,2016-02-01,2
02 4 N,true,2016-02-01,3
02 6 N,true,2016-02-01,3
03 4 S,true,2016-02-01,4
03 6 S,true,2016-02-01,3
03 4 N,true,2016-02-01,3
03 6 N,true,2016-02-01,3
04 6 S,true,2016-02-01,3
04 4 S,true,2016-02-01,3
04 4 N,true,2016-02-01,4
04 6 N,true,2016-02-01,3
05 6 S,true,2016-02-01,5
05 4 S,true,2016-02-01,5
05 4 N,true,2016-02-01,3
05 6 N,true,2016-02-01,4
06 4 N,true,2016-02-01,6
05 5 S,true,2016-02-01,2
06 5 S,true,2016-02-01,7
06 6 S,true,2016-02-01,10
06 4 S,true,2016-02-01,9
06 5 N,true,2016-02-01,3
06 6 N,true,2016-02-01,7
07 5 S,true,2016-02-01,11
07 4 N,true,2016-02-01,9
07 4 S,true,2016-02-01,11
07 6 S,true,2016-02-01,15
07 5 N,true,2016-02-01,5
07 6 N,true,2016-02-01,11
08 5 S,true,2016-02-01,7
08 6 S,true,2016-02-01,20
08 4 S,true,2016-02-01,13
08 5 N,true,2016-02-01,10
08 4 N,true,2016-02-01,12
09 5 S,true,2016-02-01,9
09 4 S,true,2016-02-01,13
09 6 N,true,2016-02-01,21
08 6 N,true,2016-02-01,17
09 5 N,true,2016-02-01,11
09 4 N,true,2016-02-01,11
09 6 S,true,2016-02-01,15
10 5 S,true,2016-02-01,8
10 6 S,true,2016-02-01,17
10 4 S,true,2016-02-01,8
10 4 N,true,2016-02-01,11
10 5 N,true,2016-02-01,5
10 6 N,true,2016-02-01,17
11 6 S,true,2016-02-01,15
11 5 N,true,2016-02-01,8
11 4 S,true,2016-02-01,7
11 5 S,true,2016-02-01,6
11 4 N,true,2016-02-01,10
11 6 N,true,2016-02-01,15
12 5 S,true,2016-02-01,8
12 6 S,true,2016-02-01,15
12 4 S,true,2016-02-01,8
12 5 N,true,2016-02-01,7
12 4 N,true,2016-02-01,8
12 6 N,true,2016-02-01,15
16 4 N,true,2016-02-01,10
13 5 S,true,2016-02-01,8
13 6 S,true,2016-02-01,14
13 5 N,true,2016-02-01,8
13 4 S,true,2016-02-01,6
13 4 N,true,2016-02-01,7
13 6 N,true,2016-02-01,15
14 6 S,true,2016-02-01,10
14 4 S,true,2016-02-01,9
14 5 S,true,2016-02-01,5
14 4 N,true,2016-02-01,8
14 5 N,true,2016-02-01,7
14 6 N,true,2016-02-01,9
15 5 S,true,2016-02-01,8
15 5 N,true,2016-02-01,6
15 4 S,true,2016-02-01,7
15 4 N,true,2016-02-01,6
15 6 N,true,2016-02-01,7
16 5 S,true,2016-02-01,3
16 4 S,true,2016-02-01,7
15 6 S,true,2016-02-01,3
16 5 N,true,2016-02-01,9
17 4 S,true,2016-02-01,8
17 5 S,true,2016-02-01,5
16 6 S,true,2016-02-01,5
17 4 N,true,2016-02-01,7
17 5 N,true,2016-02-01,5
16 6 N,true,2016-02-01,3
18 5 S,true,2016-02-01,7
18 5 N,true,2016-02-01,9
