hour_route_key,weekday,date,count
00 2 N,false,2017-07-01,4
00 2 S,false,2017-07-01,3
01 2 N,false,2017-07-01,3
00 5 N,false,2017-07-01,1
01 4 N,false,2017-07-01,3
00 4 N,false,2017-07-01,4
00 4 S,false,2017-07-01,3
00 6 N,false,2017-07-01,2
23 6 S,false,2017-07-01,6
00 6 S,false,2017-07-01,3
01 6 S,false,2017-07-01,2
01 6 N,false,2017-07-01,4
01 4 S,false,2017-07-01,3
01 2 S,false,2017-07-01,3
02 4 N,false,2017-07-01,5
02 6 S,false,2017-07-01,3
02 2 N,false,2017-07-01,3
02 6 N,false,2017-07-01,3
02 2 S,false,2017-07-01,3
02 4 S,false,2017-07-01,3
03 6 S,false,2017-07-01,3
03 4 N,false,2017-07-01,2
03 2 N,false,2017-07-01,3
03 6 N,false,2017-07-01,3
03 4 S,false,2017-07-01,3
03 2 S,false,2017-07-01,3
04 4 N,false,2017-07-01,3
04 6 S,false,2017-07-01,3
04 2 N,false,2017-07-01,3
04 4 S,false,2017-07-01,3
04 6 N,false,2017-07-01,3
04 2 S,false,2017-07-01,3
05 4 N,false,2017-07-01,3
05 6 S,false,2017-07-01,3
05 2 N,false,2017-07-01,3
05 6 N,false,2017-07-01,3
05 4 S,false,2017-07-01,3
05 2 S,false,2017-07-01,3
06 4 N,false,2017-07-01,4
06 6 S,false,2017-07-01,7
06 2 N,false,2017-07-01,3
06 4 S,false,2017-07-01,6
06 6 N,false,2017-07-01,4
06 2 S,false,2017-07-01,5
07 4 N,false,2017-07-01,5
07 2 N,false,2017-07-01,5
07 6 S,false,2017-07-01,7
07 4 S,false,2017-07-01,6
07 6 N,false,2017-07-01,7
07 2 S,false,2017-07-01,6
08 4 N,false,2017-07-01,7
08 2 N,false,2017-07-01,5
08 6 S,false,2017-07-01,6
08 4 S,false,2017-07-01,9
08 6 N,false,2017-07-01,8
08 2 S,false,2017-07-01,5
09 6 S,false,2017-07-01,8
09 2 N,false,2017-07-01,5
09 4 N,false,2017-07-01,7
09 4 S,false,2017-07-01,6
09 6 N,false,2017-07-01,7
09 2 S,false,2017-07-01,5
10 4 N,false,2017-07-01,8
