route	trip	stop	timestamp	arrival	isValid	date
2	144200_2..N12X004	631N	1498884741	1498884668	true	2017-07-01
2	145100_2..N12X004	631N	1498884996	1498884912	true	2017-07-01
2	146150_2..S12X004	631S	1498883241	1498883226	true	2017-07-01
2	147100_2..N12X004	631N	1498886241	1498886160	true	2017-07-01
2	139300_2..S12X003	631S	1498882056	1498882030	true	2017-07-01
2	141400_2..N12X004	631N	1498882941	1498882900	true	2017-07-01
2	142600_2..N12X004	631N	1498883751	1498883638	true	2017-07-01
5	143600_5..N73R	631N	1498882791	1498882752	true	2017-07-01
4	144950_4..N13X104	631N	1498885416	1498885393	true	2017-07-01
4	140700_4..N02X108	631N	1498883331	1498883291	true	2017-07-01
4	140700_4..N06X108	631N	1498881891	1498881840	true	2017-07-01
4	140800_4..S01R	631S	1498881891	1498881867	true	2017-07-01
4	142000_4..N02X108	631N	1498883721	1498883684	true	2017-07-01
4	142550_4..S01R	631S	1498883946	1498883868	true	2017-07-01
4	143350_4..N13X104	631N	1498885041	1498884900	true	2017-07-01
6	147100_6..N01X009	631N	1498884456	1498884393	true	2017-07-01
6	139150_6..S01R	631S	1498881606	1498881559	true	2017-07-01
6	140150_6..S01R	631S	1498882296	1498882264	true	2017-07-01
6	141150_6..S01R	631S	1498882641	1498882621	true	2017-07-01
6	142150_6..S01R	631S	1498883181	1498883185	true	2017-07-01
4	003700_4..S13X104	631S	1498884966	1498884933	true	2017-07-01
4	147850_4..N13X104	631N	1498887291	1498887253	true	2017-07-01
2	003900_2..S12X004	631S	1498884426	1498884387	true	2017-07-01
6	003950_6..S01R	631S	1498886661	1498886627	true	2017-07-01
6	148100_6..N01X009	631N	1498885206	1498885173	true	2017-07-01
4	148800_4..N13X104	631N	1498888281	1498888225	true	2017-07-01
2	149100_2..N12X004	631N	1498887696	1498887647	true	2017-07-01
6	149100_6..N01X009	631N	1498885626	1498885581	true	2017-07-01
4	005700_4..S13X104	631S	1498886091	1498886061	true	2017-07-01
2	005900_2..S12X004	631S	1498885476	1498885449	true	2017-07-01
6	005950_6..S01R	631S	1498888071	1498888056	true	2017-07-01
6	150300_6..N01X009	631N	1498886391	1498886351	true	2017-07-01
4	150800_4..N13X104	631N	1498888971	1498888935	true	2017-07-01
2	151100_2..N12X004	631N	1498888476	1498888450	true	2017-07-01
4	007700_4..S13X104	631S	1498887111	1498887086	true	2017-07-01
6	007500_6..N01X009	631N	1498886976	1498886933	true	2017-07-01
2	007900_2..S12X004	631S	1498886511	1498886475	true	2017-07-01
6	007950_6..S01R	631S	1498889526	1498889507	true	2017-07-01
4	152800_4..N13X104	631N	1498889961	1498889921	true	2017-07-01
2	153100_2..N12X004	631N	1498890711	1498890632	true	2017-07-01
6	009250_6..N01X009	631N	1498888476	1498888430	true	2017-07-01
4	009700_4..S13X104	631S	1498888356	1498888358	true	2017-07-01
2	009900_2..S12X004	631S	1498887906	1498887868	true	2017-07-01
6	009950_6..S01R	631S	1498890501	1498890482	true	2017-07-01
4	010850_4..N13X104	631N	1498891596	1498891546	true	2017-07-01
2	155100_2..N12X004	631N	1498890861	1498890846	true	2017-07-01
6	011250_6..N01X009	631N	1498889286	1498889253	true	2017-07-01
2	011900_2..S12X004	631S	1498889091	1498889075	true	2017-07-01
4	011700_4..S13X104	631S	1498889736	1498889730	true	2017-07-01
6	011950_6..S01R	631S	1498891776	1498891759	true	2017-07-01
4	009800_4..N13X104	631N	1498891071	1498891001	true	2017-07-01
4	012850_4..N13X104	631N	1498892346	1498892309	true	2017-07-01
2	013150_2..N12X004	631N	1498892256	1498892242	true	2017-07-01
6	013250_6..N01X009	631N	1498890396	1498890356	true	2017-07-01
2	013900_2..S12X004	631S	1498890261	1498890247	true	2017-07-01
6	013950_6..S01R	631S	1498892781	1498892748	true	2017-07-01
4	014850_4..N13X104	631N	1498893666	1498893651	true	2017-07-01
2	015150_2..N12X004	631N	1498893141	1498893104	true	2017-07-01
6	015250_6..N01X009	631N	1498891956	1498891872	true	2017-07-01
2	015900_2..S12X004	631S	1498891506	1498891465	true	2017-07-01
4	015700_4..S13X104	631S	1498891986	1498891961	true	2017-07-01
6	015950_6..S01R	631S	1498893966	1498893954	true	2017-07-01
4	016850_4..N13X104	631N	1498894821	1498894806	true	2017-07-01
2	017150_2..N12X004	631N	1498894236	1498894226	true	2017-07-01
6	017250_6..N01X009	631N	1498892781	1498892748	true	2017-07-01
4	017700_4..S13X104	631S	1498893171	1498893094	true	2017-07-01
2	017900_2..S12X004	631S	1498892691	1498892677	true	2017-07-01
6	017950_6..S01R	631S	1498895691	1498895681	true	2017-07-01
4	015000_4..S13X104	631S	1498891536	1498891458	true	2017-07-01
4	018850_4..N13X104	631N	1498896156	1498896132	true	2017-07-01
2	019150_2..N12X004	631N	1498895736	1498895712	true	2017-07-01
6	019250_6..N01X009	631N	1498893921	1498893905	true	2017-07-01
2	019900_2..S12X004	631S	1498893831	1498893814	true	2017-07-01
4	019700_4..S13X104	631S	1498894356	1498894323	true	2017-07-01
6	019950_6..S01R	631S	1498896366	1498896348	true	2017-07-01
2	021150_2..N12X004	631N	1498897116	1498897090	true	2017-07-01
4	020850_4..N13X104	631N	1498897206	1498897186	true	2017-07-01
6	021250_6..N01X009	631N	1498895151	1498895141	true	2017-07-01
2	021900_2..S12X004	631S	1498895046	1498895046	true	2017-07-01
4	021700_4..S13X104	631S	1498895571	1498895484	true	2017-07-01
6	021950_6..S01R	631S	1498897566	1498897549	true	2017-07-01
2	023150_2..N12X004	631N	1498898091	1498898105	true	2017-07-01
4	022850_4..N13X104	631N	1498898586	1498898578	true	2017-07-01
4	023700_4..S13X104	631S	1498896786	1498896763	true	2017-07-01
6	023250_6..N01X009	631N	1498896366	1498896350	true	2017-07-01
2	023900_2..S12X004	631S	1498896216	1498896190	true	2017-07-01
6	023950_6..S01R	631S	1498899006	1498898784	true	2017-07-01
2	025150_2..N12X004	631N	1498899246	1498899222	true	2017-07-01
4	024850_4..N13X104	631N	1498899696	1498899683	true	2017-07-01
6	025250_6..N01X009	631N	1498897566	1498897541	true	2017-07-01
2	025900_2..S12X004	631S	1498897416	1498897392	true	2017-07-01
4	025700_4..S13X104	631S	1498898001	1498897988	true	2017-07-01
6	025950_6..S01R	631S	1498899966	1498899939	true	2017-07-01
