route	trip	stop	time
4	145150_4	640N	1496635888 1496635890
4	145150_4	639N	1496635978 1496635981
4	145150_4	638N	1496636068 1496636067
4	145150_4	637N	1496636158 1496636145
4	145150_4	636N	1496636248 1496636233
4	145150_4	635N	1496636359 1496636327
4	145150_4	634N	1496636458 1496636440
4	145150_4	633N	1496636518 1496636511
4	145150_4	632N	1496636578 1496636578
4	145150_4	631N	1496636728 1496636693
4	145150_4	630N	1496636848 1496636834
4	145150_4	629N	1496636938 1496636938
4	145150_4	628N	1496637049 1496637032
4	145150_4	627N	1496637088 1496637122
4	145150_4	626N	1496637238 1496637217
4	145150_4	625N	1496637388 1496637379
4	145150_4	624N	1496637508 1496637498
4	145150_4	623N	1496637598 1496637576
4	145150_4	622N	1496637688 1496637667
4	145150_4	621N	1496637808 1496637767
4	145150_4	416N	1496638138 1496638110
4	145150_4	415N	1496638288 1496638198
4	145150_4	414N	1496638438 1496638425
4	145150_4	413N	1496638558 1496638544
4	145150_4	412N	1496638648 1496638637
4	145150_4	411N	1496638738 1496638719
4	145150_4	410N	1496638798 1496638799
4	145150_4	409N	1496638918 1496638896
4	145150_4	408N	1496639008 1496638992
4	145150_4	407N	1496639068 1496639076
4	145150_4	406N	1496639188 1496639171
4	145150_4	405N	1496639308 1496639283
4	145150_4	402N	1496639398 1496639389
4	145150_4	401N	1496639608 1496639568
4	001500_4	401S	1496636398 1496636100
4	001500_4	402S	1496636518 1496636514
4	001500_4	405S	1496636638 1496636626
4	001500_4	406S	1496636758 1496636739
4	001500_4	407S	1496636818 1496636823
4	001500_4	408S	1496636908 1496636900
4	001500_4	409S	1496637019 1496637001
4	001500_4	410S	1496637088 1496637087
4	001500_4	411S	1496637178 1496637165
4	001500_4	412S	1496637238 1496637244
4	001500_4	413S	1496637328 1496637335
4	001500_4	414S	1496637448 1496637434
4	001500_4	415S	1496637598 1496637590
4	001500_4	416S	1496637718 1496637702
4	001500_4	621S	1496637838 1496637830
4	001500_4	622S	1496637958 1496637938
4	001500_4	623S	1496638018 1496638014
4	001500_4	624S	1496638078 1496638093
4	001500_4	625S	1496638198 1496638199
4	001500_4	626S	1496638378 1496638359
4	001500_4	627S	1496638528 1496638525
4	001500_4	628S	1496638618 1496638619
4	001500_4	629S	1496638708 1496638709
4	001500_4	630S	1496638798 1496638800
4	001500_4	631S	1496638918 1496638883
4	001500_4	632S	1496639038 1496639034
4	001500_4	633S	1496639098 1496639098
4	001500_4	634S	1496639158 1496639167
4	001500_4	635S	1496639278 1496639259
4	001500_4	636S	1496639368 1496639367
4	001500_4	637S	1496639458 1496639448
4	001500_4	638S	1496639518 1496639517
4	001500_4	639S	1496639548 1496639624
4	001500_4	640S	1496639668 1496639661
4	146800_4	640N	1496636968 1496636880
4	146800_4	639N	1496637058 1496637041
4	146800_4	638N	1496637088 1496637121
4	146800_4	637N	1496637208 1496637191
4	146800_4	636N	1496637298 1496637278
4	146800_4	635N	1496637448 1496637418
4	146800_4	634N	1496637538 1496637540
4	146800_4	633N	1496637628 1496637615
4	146800_4	632N	1496637688 1496637683
4	146800_4	631N	1496637859 1496637811
4	146800_4	630N	1496637988 1496637966
4	146800_4	629N	1496638078 1496638064
4	146800_4	628N	1496638228 1496638217
4	146800_4	627N	1496638318 1496638305
4	146800_4	626N	1496638498 1496638457
4	146800_4	625N	1496638978 1496638923
4	146800_4	624N	1496639068 1496639068
4	146800_4	623N	1496639158 1496639148
4	146800_4	622N	1496639248 1496639239
4	146800_4	621N	1496639368 1496639343
4	146800_4	416N	1496639548 1496639535
4	146800_4	415N	1496639668 1496639611
4	146800_4	414N	1496639788 1496639778
4	146800_4	413N	1496639908 1496639896
4	146800_4	412N	1496639998 1496639992
4	146800_4	411N	1496640088 1496640078
4	146800_4	410N	1496640178 1496640161
4	146800_4	409N	1496640268 1496640256
4	146800_4	408N	1496640379 1496640353
4	146800_4	407N	1496640448 1496640443
4	146800_4	406N	1496640538 1496640542
4	146800_4	405N	1496640688 1496640663
4	146800_4	402N	1496640778 1496640774
4	146800_4	401N	1496640928 1496640870
4	138600_4	405N	1496635228 1496635232
4	138600_4	402N	1496635348 1496635332
4	138600_4	401N	1496635528 1496635472
4	138700_4	639S	1496635258 1496635239
4	138700_4	640S	1496635369 1496635344
4	139800_4	413N	1496635288 1496635274
4	139800_4	412N	1496635378 1496635363
4	139800_4	411N	1496635468 1496635448
4	139800_4	410N	1496635528 1496635523
4	139800_4	409N	1496635678 1496635620
4	139800_4	408N	1496635798 1496635778
4	139800_4	407N	1496635888 1496635866
4	139800_4	406N	1496635978 1496635963
4	139800_4	405N	1496636068 1496636073
4	139800_4	402N	1496636188 1496636172
4	139800_4	401N	1496636329 1496636264
4	140400_4	628S	1496635228 1496635207
4	140400_4	629S	1496635318 1496635302
4	140400_4	630S	1496635408 1496635400
4	140400_4	631S	1496635558 1496635499
4	140400_4	632S	1496635678 1496635682
4	140400_4	633S	1496635768 1496635754
4	140400_4	634S	1496635828 1496635826
4	140400_4	635S	1496635978 1496635933
4	140400_4	636S	1496636068 1496636061
4	140400_4	637S	1496636158 1496636145
4	140400_4	638S	1496636578 1496636227
4	140400_4	639S	1496636668 1496636655
4	140400_4	640S	1496636758 1496636740
4	141200_4	621N	1496635258 1496635232
4	141200_4	416N	1496635408 1496635406
4	141200_4	415N	1496635528 1496635474
4	141200_4	414N	1496636038 1496635655
4	141200_4	413N	1496636128 1496636134
4	141200_4	412N	1496636218 1496636213
4	141200_4	411N	1496636299 1496636286
4	141200_4	410N	1496636368 1496636359
4	141200_4	409N	1496636458 1496636450
4	141200_4	408N	1496636548 1496636543
4	141200_4	407N	1496636638 1496636623
4	141200_4	406N	1496636728 1496636717
4	141200_4	405N	1496636818 1496636825
4	141200_4	402N	1496636938 1496636924
4	141200_4	401N	1496637088 1496637055
4	142200_4	631N	1496635228 1496635208
4	142200_4	630N	1496635318 1496635313
4	142200_4	629N	1496635408 1496635402
4	142200_4	628N	1496635528 1496635492
4	142200_4	627N	1496635588 1496635581
4	142200_4	626N	1496635738 1496635689
4	142200_4	625N	1496635918 1496635891
4	142200_4	624N	1496636068 1496636044
4	142200_4	623N	1496636128 1496636135
4	142200_4	622N	1496636218 1496636211
4	142200_4	621N	1496636338 1496636310
4	142200_4	416N	1496636578 1496636573
4	142200_4	415N	1496636698 1496636645
4	142200_4	414N	1496636818 1496636816
4	142200_4	413N	1496636938 1496636941
4	142200_4	412N	1496637049 1496637030
4	142200_4	411N	1496637088 1496637115
4	142200_4	410N	1496637208 1496637197
4	142200_4	409N	1496637298 1496637295
4	142200_4	408N	1496637418 1496637398
4	142200_4	407N	1496637508 1496637484
4	142200_4	406N	1496637598 1496637584
4	142200_4	405N	1496637718 1496637708
4	142200_4	402N	1496637838 1496637818
4	142200_4	401N	1496638009 1496637966
4	142400_4	414S	1496635288 1496635275
4	142400_4	415S	1496635438 1496635396
4	142400_4	416S	1496635558 1496635548
4	142400_4	621S	1496635828 1496635789
4	142400_4	622S	1496636008 1496635964
4	142400_4	623S	1496636068 1496636068
4	142400_4	624S	1496636188 1496636159
4	142400_4	625S	1496636368 1496636297
4	142400_4	626S	1496636578 1496636558
4	142400_4	627S	1496636698 1496636697
4	142400_4	628S	1496636788 1496636792
4	142400_4	629S	1496636908 1496636882
4	142400_4	630S	1496636998 1496636987
4	142400_4	631S	1496637088 1496637072
4	142400_4	632S	1496637238 1496637245
4	142400_4	633S	1496637328 1496637312
4	142400_4	634S	1496637388 1496637387
4	142400_4	635S	1496637568 1496637519
4	142400_4	636S	1496637688 1496637671
4	142400_4	637S	1496637838 1496637784
4	142400_4	638S	1496637898 1496637893
4	142400_4	639S	1496637988 1496637972
