route	trip	stop	timestamp	arrival	isValid
4	145150_4N	640N	1496635888	1496635890	true
4	145150_4N	639N	1496635978	1496635981	true
4	145150_4N	638N	1496636068	1496636067	true
4	145150_4N	637N	1496636158	1496636145	true
4	145150_4N	636N	1496636248	1496636233	true
4	145150_4N	635N	1496636359	1496636327	true
4	145150_4N	634N	1496636458	1496636440	true
4	145150_4N	633N	1496636518	1496636511	true
4	145150_4N	632N	1496636578	1496636578	true
4	145150_4N	631N	1496636728	1496636693	true
4	145150_4N	630N	1496636848	1496636834	true
4	145150_4N	629N	1496636938	1496636938	true
4	145150_4N	628N	1496637049	1496637032	true
4	145150_4N	627N	1496637088	1496637122	true
4	145150_4N	626N	1496637238	1496637217	true
4	145150_4N	625N	1496637388	1496637379	true
4	145150_4N	624N	1496637508	1496637498	true
4	145150_4N	623N	1496637598	1496637576	true
4	145150_4N	622N	1496637688	1496637667	true
4	145150_4N	621N	1496637808	1496637767	true
4	145150_4N	416N	1496638138	1496638110	true
4	145150_4N	415N	1496638288	1496638198	true
4	145150_4N	414N	1496638438	1496638425	true
4	145150_4N	413N	1496638558	1496638544	true
4	145150_4N	412N	1496638648	1496638637	true
4	145150_4N	411N	1496638738	1496638719	true
4	145150_4N	410N	1496638798	1496638799	true
4	145150_4N	409N	1496638918	1496638896	true
4	145150_4N	408N	1496639008	1496638992	true
4	145150_4N	407N	1496639068	1496639076	true
4	145150_4N	406N	1496639188	1496639171	true
4	145150_4N	405N	1496639308	1496639283	true
4	145150_4N	402N	1496639398	1496639389	true
4	145150_4N	401N	1496639608	1496639568	true
4	001500_4S	401S	1496636398	1496636100	true
4	001500_4S	402S	1496636518	1496636514	true
4	001500_4S	405S	1496636638	1496636626	true
4	001500_4S	406S	1496636758	1496636739	true
4	001500_4S	407S	1496636818	1496636823	true
4	001500_4S	408S	1496636908	1496636900	true
4	001500_4S	409S	1496637019	1496637001	true
4	001500_4S	410S	1496637088	1496637087	true
4	001500_4S	411S	1496637178	1496637165	true
4	001500_4S	412S	1496637238	1496637244	true
4	001500_4S	413S	1496637328	1496637335	true
4	001500_4S	414S	1496637448	1496637434	true
4	001500_4S	415S	1496637598	1496637590	true
4	001500_4S	416S	1496637718	1496637702	true
4	001500_4S	621S	1496637838	1496637830	true
4	001500_4S	622S	1496637958	1496637938	true
4	001500_4S	623S	1496638018	1496638014	true
4	001500_4S	624S	1496638078	1496638093	true
4	001500_4S	625S	1496638198	1496638199	true
4	001500_4S	626S	1496638378	1496638359	true
4	001500_4S	627S	1496638528	1496638525	true
4	001500_4S	628S	1496638618	1496638619	true
4	001500_4S	629S	1496638708	1496638709	true
4	001500_4S	630S	1496638798	1496638800	true
4	001500_4S	631S	1496638918	1496638883	true
4	001500_4S	632S	1496639038	1496639034	true
4	001500_4S	633S	1496639098	1496639098	true
4	001500_4S	634S	1496639158	1496639167	true
4	001500_4S	635S	1496639278	1496639259	true
4	001500_4S	636S	1496639368	1496639367	true
4	001500_4S	637S	1496639458	1496639448	true
4	001500_4S	638S	1496639518	1496639517	true
4	001500_4S	639S	1496639548	1496639624	true
4	001500_4S	640S	1496639668	1496639661	true
4	146800_4N	640N	1496636968	1496636880	true
4	146800_4N	639N	1496637058	1496637041	true
4	146800_4N	638N	1496637088	1496637121	true
4	146800_4N	637N	1496637208	1496637191	true
4	146800_4N	636N	1496637298	1496637278	true
4	146800_4N	635N	1496637448	1496637418	true
4	146800_4N	634N	1496637538	1496637540	true
4	146800_4N	633N	1496637628	1496637615	true
4	146800_4N	632N	1496637688	1496637683	true
4	146800_4N	631N	1496637859	1496637811	true
4	146800_4N	630N	1496637988	1496637966	true
4	146800_4N	629N	1496638078	1496638064	true
4	146800_4N	628N	1496638228	1496638217	true
4	146800_4N	627N	1496638318	1496638305	true
4	146800_4N	626N	1496638498	1496638457	true
4	146800_4N	625N	1496638978	1496638923	true
4	146800_4N	624N	1496639068	1496639068	true
4	146800_4N	623N	1496639158	1496639148	true
4	146800_4N	622N	1496639248	1496639239	true
4	146800_4N	621N	1496639368	1496639343	true
4	146800_4N	416N	1496639548	1496639535	true
4	146800_4N	415N	1496639668	1496639611	true
4	146800_4N	414N	1496639788	1496639778	true
4	146800_4N	413N	1496639908	1496639896	true
4	146800_4N	412N	1496639998	1496639992	true
4	146800_4N	411N	1496640088	1496640078	true
4	146800_4N	410N	1496640178	1496640161	true
4	146800_4N	409N	1496640268	1496640256	true
