route	trip	stop	time
4	144400_4	257N	1494993840
4	144400_4	256N	1494993930
4	144400_4	255N	1494993990
4	144400_4	254N	1494994080
4	144400_4	253N	1494994140
4	144400_4	252N	1494994260
4	144400_4	251N	1494994350
4	144400_4	250N	1494994500
4	144400_4	249N	1494994620
4	144400_4	248N	1494994740
4	144400_4	239N	1494994830
4	144400_4	238N	1494994950
4	144400_4	237N	1494995040
4	144400_4	236N	1494995160
4	144400_4	235N	1494995250
4	144400_4	234N	1494995340
4	144400_4	423N	1494995430
4	144400_4	420N	1494995730
4	144400_4	419N	1494995790
4	144400_4	418N	1494995880
4	144400_4	640N	1494995970
4	144400_4	639N	1494996090
4	144400_4	638N	1494996180
4	144400_4	637N	1494996240
4	144400_4	636N	1494996330
4	144400_4	635N	1494996420
4	144400_4	634N	1494996540
4	144400_4	633N	1494996600
4	144400_4	632N	1494996660
4	144400_4	631N	1494996780
4	144400_4	630N	1494996870
4	144400_4	629N	1494996960
4	144400_4	628N	1494997080
4	144400_4	627N	1494997170
4	144400_4	626N	1494997260
4	144400_4	625N	1494997380
4	144400_4	624N	1494997470
4	144400_4	623N	1494997530
4	144400_4	622N	1494997620
4	144400_4	621N	1494997710
4	000550_4	401S	1494993930
4	000550_4	402S	1494994050
4	000550_4	405S	1494994170
4	000550_4	406S	1494994290
4	000550_4	407S	1494994350
4	000550_4	408S	1494994410
4	000550_4	409S	1494994500
4	000550_4	410S	1494994590
4	000550_4	411S	1494994680
4	000550_4	412S	1494994740
4	000550_4	413S	1494994830
4	000550_4	414S	1494994950
4	000550_4	415S	1494995130
4	000550_4	416S	1494995250
4	000550_4	621S	1494995400
4	144800_4	621S	1494994080
4	144800_4	622S	1494994170
4	144800_4	623S	1494994260
4	144800_4	624S	1494994320
4	144800_4	625S	1494994410
4	144800_4	626S	1494994530
4	144800_4	627S	1494994620
4	144800_4	628S	1494994740
4	144800_4	629S	1494994830
4	144800_4	630S	1494994920
4	144800_4	631S	1494995040
4	144800_4	632S	1494995160
4	144800_4	633S	1494995220
4	144800_4	634S	1494995280
4	144800_4	635S	1494995370
4	144800_4	636S	1494995460
4	144800_4	637S	1494995550
4	144800_4	638S	1494995610
4	144800_4	639S	1494995700
4	144800_4	640S	1494995820
4	144800_4	418S	1494995910
4	144800_4	419S	1494996000
4	144800_4	420S	1494996060
